Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									97.29125214										96.82263947				
Andorra	AND	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Afghanistan	AFG	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																				18.15768051																																31.74111748			
Angola	AGO	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																										67.4054184											70.58036804		
Albania	ALB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																										98.71297455							95.93863678			96.84529877			
Arab World	ARB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															54.53756207										65.98075682										76.36040147				
United Arab Emirates	ARE	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																53.51488113										71.23529816																				90.03384399									
Argentina	ARG	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																					93.91285706											96.12819672										97.1933136											97.91609192		
Armenia	ARM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																														98.75196838												99.40015411											99.6099472		
American Samoa	ASM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																					97.34416199																																		
Antigua and Barbuda	ATG	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																										98.94999695											98.94999695		
Australia	AUS	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Austria	AUT	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Azerbaijan	AZE	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																								98.79180145								99.60190582		99.75984192	99.77114105	99.77863312	99.77577209		
Burundi	BDI	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																				22.50855064											37.38472366										59.30361938								86.94786835						
Belgium	BEL	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Benin	BEN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																				16.48279381													27.2452507										34.65784836				28.7021122								
Burkina Faso	BFA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																8.685145378																13.56923199					12.84816933							21.82291603		23.55371857		28.72921371							
Bangladesh	BGD	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						29.22723198										35.31929398										47.48550034											58.78771973		
Bulgaria	BGR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																										98.20355225										98.35244751			
Bahrain	BHR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						69.75351715										84.01383209										86.5487442									94.55679321				
"Bahamas, The"	BHS	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Bosnia and Herzegovina	BIH	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									96.6631012												98.15338135		
Belarus	BLR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																														97.88336945										99.59072876										99.6170578					
Belize	BLZ	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																70.29842377																							
Bermuda	BMU	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Bolivia	BOL	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																	63.20814896																79.99177551									86.72366333						90.74346924	90.69810486	91.16782379		92.22614288	94.46056366		
Brazil	BRA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																					74.58673096																				86.36788177				88.61624146		89.61522675	90.0093689	90.03662109	90.29821014	90.37918091	91.41124725	91.33374023		
Barbados	BRB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Brunei Darussalam	BRN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						77.83421326										87.80417633										92.67112732											95.39485168		
Bhutan	BTN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																														52.81468964									
Botswana	BWA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																68.58090973												81.18871307									86.72881317		
Central African Republic	CAF	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																18.23617172													33.62442398												50.6451683										36.75260925				
Canada	CAN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Central Europe and the Baltics	CEB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															98.59694285										98.95259881										99.36655131				
Switzerland	CHE	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Channel Islands	CHI	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Chile	CHL	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																							91.12840271										94.2911377										95.7166214						98.6490097	98.55367279					
China	CHN	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																							65.50508881								77.78505707										90.92021179										95.12447357				
Cote d'Ivoire	CIV	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																													34.13927841										36.35024261		48.7407608												40.98163223		
Cameroon	CMR	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																	41.21620941																								68.4091568							70.67993927			71.29050446				
"Congo, Rep."	COG	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																				79.31117249			
Colombia	COL	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																		81.37555695			91.20716095								92.8037796	92.84866333	92.29967499	92.65179443	93.37817383	93.24468994	93.37232971	93.58053589			
Comoros	COM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																					47.91923141																				68.48923492												75.93975067		
Cabo Verde	CPV	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															62.79685974														80.01972198								85.32778931		
Costa Rica	CRI	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																									92.62904358																94.86818695											97.40658569			
Caribbean small states	CSS	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									87.62992757										91.02294745				
Cuba	CUB	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						97.84664917																					99.79907227										99.83740997		
Curacao	CUW	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Cayman Islands	CYM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																98.86782074							
Cyprus	CYP	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																	94.36247253									96.80363464										98.67842865			
Czech Republic	CZE	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Germany	DEU	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Djibouti	DJI	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Dominica	DMA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Denmark	DNK	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																																							
Dominican Republic	DOM	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																						73.06456757																					86.99646759					88.24446106			89.53873444	90.10626984	90.15518188	90.85814667	
Algeria	DZA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																												49.63088608															69.87349701				72.64868164								
East Asia & Pacific (developing only)	EAP	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															79.74590517										90.76923385										94.54008461				
East Asia & Pacific (all income levels)	EAS	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															82.05232355										91.61432298										94.91908949				
Europe & Central Asia (developing only)	ECA	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															94.26069802										95.8919811										98.14830972				
Europe & Central Asia (all income levels)	ECS	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																															97.27406177										98.14422341										98.95213609				
Ecuador	ECU	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																							83.5526886								88.29875946											90.98402405						84.19272614		84.20696259	91.85404205	91.5868988		93.29462433	
"Egypt, Arab Rep."	EGY	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																	38.1967659										44.42399216										55.58699799									71.40886688	66.36990356				72.04785156		73.86558533		
Euro area	EMU	"Literacy rate, adult total (% of people ages 15 and above)"	SE.ADT.LITR.ZS																																									98.46101733										98.8378421				
